Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
539,Lewis Morgan,sct SCO,"MF,FW",NY Red Bulls,26,1996,3.3,65,100,65.0,1104,355,32,42,76.2,25,35,71.4,8,17,47.1,0,0.4,0.1,-0.4,4,6,1,1,10,Matches
540,Aidan Morris,us USA,MF,Columbus Crew,21,2001,28.7,1749,1902,92.0,28599,7316,884,928,95.3,692,739,93.6,133,156,85.3,3,2.5,2.5,+0.5,31,174,15,2,179,Matches
541,Jordan Morris,us USA,FW,Seattle,28,1994,22.0,409,560,73.0,5379,922,280,341,82.1,102,143,71.3,13,25,52.0,0,2.5,1.6,-2.5,21,17,15,3,27,Matches
542,Edwin Mosquera,co COL,"FW,MF",Atlanta Utd,21,2001,4.9,118,175,67.4,1861,458,57,73,78.1,50,71,70.4,8,13,61.5,0,0.5,1.1,-0.5,4,7,8,2,20,Matches
543,Yerson Mosquera,co COL,DF,FC Cincinnati,21,2001,25.0,1076,1325,81.2,19710,7596,425,469,90.6,532,617,86.2,100,189,52.9,1,0.6,0.8,+0.4,6,90,5,0,89,Matches
544,Jean Mota,br BRA,MF,Inter Miami,29,1993,10.1,571,723,79.0,10768,3650,227,253,89.7,254,299,84.9,79,132,59.8,3,0.8,2.3,+2.2,12,85,18,1,84,Matches
545,Chris Mueller,us USA,"FW,MF",Chicago Fire,26,1996,7.9,223,289,77.2,3405,870,135,155,87.1,64,82,78.0,18,25,72.0,0,0.5,0.7,-0.5,9,14,11,2,38,Matches
546,Hany Mukhtar,de GER,"FW,MF",Nashville,27,1995,31.5,911,1223,74.5,15196,4068,458,527,86.9,316,407,77.6,103,194,53.1,9,9.3,7.2,-0.3,70,88,40,6,135,Matches
547,José Mulato,co COL,"FW,MF",FC Dallas,20,2003,1.2,13,20,65.0,180,45,7,8,87.5,5,7,71.4,0,0,,0,0.4,0.0,-0.4,2,1,1,0,2,Matches
548,O'Vonte Mullings,ca CAN,"MF,DF",NY Red Bulls,22,2000,0.5,10,12,83.3,125,15,7,7,100.0,2,2,100.0,0,2,0.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
549,Daniel Munie,us USA,DF,San Jose,22,2000,1.2,39,56,69.6,696,280,15,15,100.0,22,29,75.9,2,11,18.2,0,0.0,0.0,0.0,0,4,0,0,0,Matches
550,Ian Murphy,us USA,DF,FC Cincinnati,23,2000,16.9,682,807,84.5,11538,4609,302,330,91.5,323,361,89.5,43,89,48.3,0,0.1,0.2,-0.1,2,48,2,0,58,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
551,Daniel Musovski,us USA,FW,Real Salt Lake,27,1995,13.4,153,233,65.7,1993,354,96,134,71.6,36,53,67.9,8,13,61.5,4,1.7,1.1,+2.3,9,12,6,0,20,Matches
552,Alex Muyl,us USA,"MF,DF",Nashville,27,1995,22.7,557,750,74.3,8888,2686,306,351,87.2,176,221,79.6,54,99,54.5,0,0.9,1.6,-0.9,19,42,14,4,67,Matches
553,Tristan Muyumba,,MF,Atlanta Utd,25,1997,9.1,461,515,89.5,6999,2219,260,285,91.2,152,162,93.8,33,42,78.6,1,0.6,0.8,+0.4,9,42,6,0,48,Matches
554,Darlington Nagbe,us USA,MF,Columbus Crew,32,1990,31.0,1487,1593,93.3,22365,5492,795,826,96.2,587,625,93.9,59,65,90.8,1,0.9,1.5,+0.1,21,149,17,0,182,Matches
555,Andy Najar,hn HON,DF,D.C. United,29,1993,12.3,507,608,83.4,9076,3113,234,256,91.4,198,231,85.7,67,92,72.8,0,0.8,1.2,-0.8,11,54,25,6,83,Matches
556,Federico Navarro,ar ARG,MF,Chicago Fire,22,2000,12.2,399,466,85.6,6479,1835,219,242,90.5,134,148,90.5,40,52,76.9,0,0.2,0.3,-0.2,4,37,3,0,34,Matches
557,Miguel Navarro,ve VEN,DF,Chicago Fire,23,1999,21.9,813,1112,73.1,13347,5885,411,466,88.2,343,464,73.9,49,140,35.0,4,2.3,1.2,+1.7,13,58,11,7,69,Matches
558,Rafael Navarro,br BRA,FW,Colorado Rapids,22,2000,9.8,115,158,72.8,1573,346,67,80,83.8,32,47,68.1,5,11,45.5,1,1.9,0.4,-0.9,17,14,5,0,18,Matches
559,Hassan Ndam,cm CMR,DF,NY Red Bulls,24,1998,7.8,278,365,76.2,5204,1975,89,108,82.4,162,191,84.8,21,52,40.4,0,0.0,0.2,0.0,0,16,1,0,21,Matches
560,Logan Ndenbe,be BEL,DF,Sporting KC,22,2000,17.1,922,1089,84.7,13962,4794,528,573,92.1,316,380,83.2,51,78,65.4,1,1.1,1.4,-0.1,12,70,18,8,96,Matches
561,Jalen Neal,us USA,DF,LA Galaxy,19,2003,14.3,816,868,94.0,14676,5487,320,333,96.1,436,444,98.2,51,74,68.9,0,0.0,0.1,0.0,2,18,0,0,28,Matches
562,Dylan Nealis,us USA,DF,NY Red Bulls,24,1998,11.5,392,567,69.1,7118,3083,160,201,79.6,185,247,74.9,40,91,44.0,0,0.2,0.7,-0.2,6,26,6,2,35,Matches
563,Sean Nealis,us USA,DF,NY Red Bulls,26,1997,30.2,958,1277,75.0,17125,6930,382,465,82.2,502,618,81.2,61,140,43.6,1,0.2,0.5,+0.8,4,54,4,0,67,Matches
564,Franco Negri,ar ARG,DF,Inter Miami,27,1995,14.8,686,868,79.0,10988,3913,394,439,89.7,228,292,78.1,50,98,51.0,1,1.7,2.0,-0.7,12,45,15,8,61,Matches
565,John Nelson,us USA,DF,St. Louis,24,1998,14.1,462,651,71.0,7336,3265,241,287,84.0,183,254,72.0,30,79,38.0,0,0.6,0.8,-0.6,10,32,8,5,52,Matches
566,Jake Nerwinski,us USA,DF,St. Louis,28,1994,24.6,777,1090,71.3,13249,7545,380,445,85.4,308,438,70.3,78,165,47.3,2,1.1,1.6,+0.9,15,86,26,14,104,Matches
567,Harvey Neville,eng ENG,"DF,MF",Inter Miami,20,2002,2.2,92,127,72.4,1424,357,52,58,89.7,31,45,68.9,5,9,55.6,0,0.0,0.0,0.0,0,4,0,0,6,Matches
